ref_date,indicator,year,value
2023-01-06,IPCA,2022,5.62
2023-01-06,IPCA,2023,5.36
2023-01-06,IPCA,2024,3.7
2023-01-06,IPCA,2025,3.3
2023-01-06,PIB,2022,3.03
2023-01-06,PIB,2023,0.78
2023-01-06,PIB,2024,1.5
2023-01-06,PIB,2025,1.9
2023-01-06,IPCA Administrados,2022,-3.89
2023-01-06,IPCA Administrados,2023,6.79
2023-01-06,IPCA Administrados,2024,4.0
2023-01-06,IPCA Administrados,2025,3.5
2023-01-06,Conta Corrente,2022,-50.5
2023-01-06,Conta Corrente,2023,-46.55
2023-01-06,Conta Corrente,2024,-45.0
2023-01-06,Conta Corrente,2025,-45.0
2023-01-06,Investimento Direto,2022,84.5
2023-01-06,Investimento Direto,2023,80.0
2023-01-06,Investimento Direto,2024,80.0
2023-01-06,Investimento Direto,2025,80.0
2023-01-06,Dívida Líquida,2022,57.5
2023-01-06,Dívida Líquida,2023,61.95
2023-01-06,Dívida Líquida,2024,64.5
2023-01-06,Dívida Líquida,2025,67.6
2023-01-06,Resultado Primário,2022,1.2
2023-01-06,Resultado Primário,2023,-1.2
2023-01-06,Resultado Primário,2024,-1.0
2023-01-06,Resultado Primário,2025,-0.7
2023-01-06,Resultado Nominal,2022,-5.2
2023-01-06,Resultado Nominal,2023,-8.5
2023-01-06,Resultado Nominal,2024,-6.9
2023-01-06,Resultado Nominal,2025,-6.1
2023-01-13,IPCA,2023,5.39
2023-01-13,IPCA,2024,3.7
2023-01-13,IPCA,2025,3.5
2023-01-13,IPCA,2026,3.22
2023-01-13,PIB,2023,0.77
2023-01-13,PIB,2024,1.5
2023-01-13,PIB,2025,1.9
2023-01-13,PIB,2026,2.0
2023-01-13,Câmbio,2023,5.28
2023-01-13,Câmbio,2024,5.3
2023-01-13,Câmbio,2025,5.3
2023-01-13,Câmbio,2026,5.35
2023-01-13,Selic,2023,12.5
2023-01-13,Selic,2024,9.25
2023-01-13,Selic,2025,8.25
2023-01-13,Selic,2026,8.0
2023-01-13,IGP-M,2023,4.67
2023-01-13,IGP-M,2024,4.03
2023-01-13,IGP-M,2025,3.74
2023-01-13,IGP-M,2026,3.66
2023-01-13,IPCA Administrados,2023,6.95
2023-01-13,IPCA Administrados,2024,4.0
2023-01-13,IPCA Administrados,2025,3.5
2023-01-13,IPCA Administrados,2026,3.5
2023-01-13,Conta Corrente,2023,-46.0
2023-01-13,Conta Corrente,2024,-45.0
2023-01-13,Conta Corrente,2025,-45.3
2023-01-13,Conta Corrente,2026,-46.0
2023-01-13,Balança Comercial,2023,57.2
2023-01-13,Balança Comercial,2024,52.4
2023-01-13,Balança Comercial,2025,55.0
2023-01-13,Balança Comercial,2026,54.0
2023-01-13,Investimento Direto,2023,80.0
2023-01-13,Investimento Direto,2024,77.5
2023-01-13,Investimento Direto,2025,80.0
2023-01-13,Investimento Direto,2026,85.0
2023-01-13,Dívida Líquida,2023,61.85
2023-01-13,Dívida Líquida,2024,64.33
2023-01-13,Dívida Líquida,2025,67.3
2023-01-13,Dívida Líquida,2026,71.0
2023-01-13,Resultado Primário,2023,-1.19
2023-01-13,Resultado Primário,2024,-1.0
2023-01-13,Resultado Primário,2025,-0.65
2023-01-13,Resultado Primário,2026,-0.5
2023-01-13,Resultado Nominal,2023,-8.25
2023-01-13,Resultado Nominal,2024,-6.9
2023-01-13,Resultado Nominal,2025,-6.2
2023-01-13,Resultado Nominal,2026,-6.0
2023-01-20,IPCA,2023,5.48
2023-01-20,IPCA,2024,3.84
2023-01-20,IPCA,2025,3.5
2023-01-20,IPCA,2026,3.47
2023-01-20,PIB,2023,0.79
2023-01-20,PIB,2024,1.5
2023-01-20,PIB,2025,1.9
2023-01-20,PIB,2026,2.0
2023-01-20,Câmbio,2023,5.28
2023-01-20,Câmbio,2024,5.3
2023-01-20,Câmbio,2025,5.3
2023-01-20,Câmbio,2026,5.3
2023-01-20,Selic,2023,12.5
2023-01-20,Selic,2024,9.5
2023-01-20,Selic,2025,8.5
2023-01-20,Selic,2026,8.25
2023-01-20,IGP-M,2023,4.69
2023-01-20,IGP-M,2024,4.03
2023-01-20,IGP-M,2025,3.79
2023-01-20,IGP-M,2026,3.8
2023-01-20,IPCA Administrados,2023,7.25
2023-01-20,IPCA Administrados,2024,4.12
2023-01-20,IPCA Administrados,2025,3.58
2023-01-20,IPCA Administrados,2026,3.5
2023-01-20,Conta Corrente,2023,-46.0
2023-01-20,Conta Corrente,2024,-45.0
2023-01-20,Conta Corrente,2025,-45.5
2023-01-20,Conta Corrente,2026,-45.5
2023-01-20,Balança Comercial,2023,58.0
2023-01-20,Balança Comercial,2024,52.4
2023-01-20,Balança Comercial,2025,56.2
2023-01-20,Balança Comercial,2026,55.0
2023-01-20,Investimento Direto,2023,80.0
2023-01-20,Investimento Direto,2024,77.5
2023-01-20,Investimento Direto,2025,80.0
2023-01-20,Investimento Direto,2026,85.0
2023-01-20,Dívida Líquida,2023,61.6
2023-01-20,Dívida Líquida,2024,64.2
2023-01-20,Dívida Líquida,2025,66.9
2023-01-20,Dívida Líquida,2026,70.3
2023-01-20,Resultado Primário,2023,-1.11
2023-01-20,Resultado Primário,2024,-1.0
2023-01-20,Resultado Primário,2025,-0.55
2023-01-20,Resultado Primário,2026,-0.48
2023-01-20,Resultado Nominal,2023,-8.35
2023-01-20,Resultado Nominal,2024,-7.22
2023-01-20,Resultado Nominal,2025,-6.2
2023-01-20,Resultado Nominal,2026,-6.25
2023-01-27,IPCA,2023,5.74
2023-01-27,IPCA,2024,3.9
2023-01-27,IPCA,2025,3.5
2023-01-27,IPCA,2026,3.5
2023-01-27,PIB,2023,0.8
2023-01-27,PIB,2024,1.5
2023-01-27,PIB,2025,1.89
2023-01-27,PIB,2026,2.0
2023-01-27,Câmbio,2023,5.25
2023-01-27,Câmbio,2024,5.3
2023-01-27,Câmbio,2025,5.3
2023-01-27,Câmbio,2026,5.3
2023-01-27,Selic,2023,12.5
2023-01-27,Selic,2024,9.5
2023-01-27,Selic,2025,8.5
2023-01-27,Selic,2026,8.5
2023-01-27,IGP-M,2023,4.67
2023-01-27,IGP-M,2024,4.03
2023-01-27,IGP-M,2025,3.99
2023-01-27,IGP-M,2026,3.95
2023-01-27,IPCA Administrados,2023,8.39
2023-01-27,IPCA Administrados,2024,4.2
2023-01-27,IPCA Administrados,2025,3.67
2023-01-27,IPCA Administrados,2026,3.5
2023-01-27,Conta Corrente,2023,-46.0
2023-01-27,Conta Corrente,2024,-45.0
2023-01-27,Conta Corrente,2025,-48.0
2023-01-27,Conta Corrente,2026,-45.5
2023-01-27,Balança Comercial,2023,57.6
2023-01-27,Balança Comercial,2024,52.4
2023-01-27,Balança Comercial,2025,56.2
2023-01-27,Balança Comercial,2026,53.8
2023-01-27,Investimento Direto,2023,80.0
2023-01-27,Investimento Direto,2024,80.0
2023-01-27,Investimento Direto,2025,83.6
2023-01-27,Investimento Direto,2026,85.0
2023-01-27,Dívida Líquida,2023,61.4
2023-01-27,Dívida Líquida,2024,64.39
2023-01-27,Dívida Líquida,2025,66.7
2023-01-27,Dívida Líquida,2026,69.26
2023-01-27,Resultado Primário,2023,-1.1
2023-01-27,Resultado Primário,2024,-1.0
2023-01-27,Resultado Primário,2025,-0.45
2023-01-27,Resultado Primário,2026,-0.3
2023-01-27,Resultado Nominal,2023,-8.45
2023-01-27,Resultado Nominal,2024,-7.15
2023-01-27,Resultado Nominal,2025,-6.2
2023-01-27,Resultado Nominal,2026,-6.19
2023-02-03,IPCA,2023,5.78
2023-02-03,IPCA,2024,3.93
2023-02-03,IPCA,2025,3.5
2023-02-03,IPCA,2026,3.5
2023-02-03,PIB,2023,0.79
2023-02-03,PIB,2024,1.5
2023-02-03,PIB,2025,1.89
2023-02-03,PIB,2026,2.0
2023-02-03,Câmbio,2023,5.25
2023-02-03,Câmbio,2024,5.3
2023-02-03,Câmbio,2025,5.3
2023-02-03,Câmbio,2026,5.3
2023-02-03,Selic,2023,12.5
2023-02-03,Selic,2024,9.75
2023-02-03,Selic,2025,9.0
2023-02-03,Selic,2026,8.5
2023-02-03,IGP-M,2023,4.6
2023-02-03,IGP-M,2024,4.07
2023-02-03,IGP-M,2025,3.99
2023-02-03,IGP-M,2026,3.75
2023-02-03,IPCA Administrados,2023,8.44
2023-02-03,IPCA Administrados,2024,4.24
2023-02-03,IPCA Administrados,2025,3.67
2023-02-03,IPCA Administrados,2026,3.5
2023-02-03,Conta Corrente,2023,-47.0
2023-02-03,Conta Corrente,2024,-50.0
2023-02-03,Conta Corrente,2025,-46.0
2023-02-03,Conta Corrente,2026,-45.25
2023-02-03,Balança Comercial,2023,57.6
2023-02-03,Balança Comercial,2024,53.9
2023-02-03,Balança Comercial,2025,55.6
2023-02-03,Balança Comercial,2026,54.4
2023-02-03,Investimento Direto,2023,80.0
2023-02-03,Investimento Direto,2024,80.0
2023-02-03,Investimento Direto,2025,83.8
2023-02-03,Investimento Direto,2026,85.0
2023-02-03,Dívida Líquida,2023,61.45
2023-02-03,Dívida Líquida,2024,64.38
2023-02-03,Dívida Líquida,2025,66.6
2023-02-03,Dívida Líquida,2026,68.1
2023-02-03,Resultado Primário,2023,-1.1
2023-02-03,Resultado Primário,2024,-1.0
2023-02-03,Resultado Primário,2025,-0.5
